id;x;y;bio02;bio04;bio06;bio09;bio12;bio15;bio16;acap;aset;aste;catr;ccor;cdel;cfee;chir;cleu;cpha;cvil;sgar;dsel
9655;-52.4708333336667;-32.7791666663938;7.48333342870076;406.483454877069;8.39999961853027;19.2833336194356;1198;14.0687543268379;335;0;0;0;0;0;0;0;0;0;0;0;0;0
9656;-55.7958333336667;-32.7874999997267;12.1833333969116;475.928900828538;4.59999990463257;23.2999998728434;1192;9.70356147028236;324;0;0;0;0;0;0;0;0;0;0;0;0;0
9657;-53.8125000003333;-32.7874999997267;10.5499997536341;439.050288150366;6;19.5166662534078;1282;11.6152639214744;346;0;0;0;0;0;0;0;0;0;0;0;0;0
9658;-53.1625000003333;-32.7874999997267;7.625;414.534020049446;8.19999980926514;19.4000000953674;1243;13.6353434123721;351;0;0;0;0;0;0;0;0;0;0;0;0;0
9659;-56.254166667;-32.7958333330595;8.96666665871938;475.259891089327;6.5;17.1500000953674;1188;10.5399672243755;330;0;0;0;0;0;0;0;0;0;0;0;0;0
9660;-52.804166667;-32.7958333330595;7.13333328564962;406.843909832063;8.60000038146973;19.3000000317891;1221;13.7769236499191;345;0;0;0;0;0;0;0;0;0;0;0;0;0
9661;-57.6375000003333;-32.8041666663924;11.3166664838791;489.30611444144;5.09999990463257;12.1166665554047;1223;19.0291074951555;382;0;0;0;0;0;0;0;0;0;0;0;0;0
9662;-55.854166667;-32.8041666663924;12.2166666984558;477.352230178889;4.5;23.25;1184;10.0728929593121;324;0;0;0;0;0;0;0;0;0;0;0;0;0
9663;-52.4708333336667;-32.8041666663924;7.50000023841858;406.916530959334;8.39999961853027;19.2666668891907;1205;14.5127178726616;341;0;0;0;0;0;0;0;0;0;0;0;0;0
9664;-55.7458333336667;-32.8124999997252;11.8583335081736;475.200723666937;4.80000019073486;19.9500001271566;1193;9.60324444972024;322;0;0;0;0;0;0;0;0;0;0;0;0;0
9665;-53.9208333336667;-32.8124999997252;10.6416666110357;443.63745318517;5.69999980926514;19.3666666348775;1295;11.4772205471287;347;0;0;0;0;0;0;0;0;0;0;0;0;0
9666;-53.6625000003333;-32.8124999997252;10.050000111262;433.832458148377;6.30000019073486;19.5;1272;11.6660890862841;344;0;0;0;0;0;0;0;0;0;0;0;0;0
9667;-52.754166667;-32.8124999997252;7.05833315849304;406.607132076894;8.60000038146973;19.2499998410543;1219;13.8264083874087;342;0;0;0;0;0;0;0;0;0;0;0;0;0
9668;-56.4958333336667;-32.820833333058;11.5083332459132;493.928861151029;4.90000009536743;11.783333381017;1281;12.1401773586687;362;0;0;0;0;0;0;0;0;0;0;0;0;0
9669;-54.2458333336667;-32.820833333058;11.3083333969116;446.274787925774;4.80000019073486;18.9499999682109;1303;10.2171121629201;342;0;0;0;0;0;0;0;0;0;0;0;0;0
9670;-52.754166667;-32.820833333058;7.06666652361552;405.996718227849;8.60000038146973;19.2499998410543;1222;13.7138791658229;343;0;0;0;0;0;0;0;0;0;0;0;0;0
9671;-56.4125000003333;-32.8291666663909;10.6416665712992;488.555967716238;5.30000019073486;14.7500001589457;1265;9.7694409859049;347;0;0;0;0;0;0;0;0;0;0;0;0;0
9672;-55.704166667;-32.8291666663909;11.7916665871938;474.612086824814;4.69999980926514;19.8500000635783;1201;8.92309261720487;321;0;0;0;0;0;0;0;0;0;0;0;0;0
9673;-55.5958333336667;-32.8291666663909;12.2750000158946;473.85329447198;4.5;19.7833334604899;1211;8.30948315894351;321;0;0;0;0;0;0;0;0;0;0;0;0;0
9674;-54.929166667;-32.8291666663909;11.6583333015442;461.00413084571;4.19999980926514;18.8833333651225;1287;6.02718671252647;333;0;0;0;0;0;0;0;0;0;0;0;0;0
